trade_id,strategy,symbol,direction,entry_date,entry_price,return_pct,win,macd0_pct,gap_atr,macd_line,macd_signal,exit_date,exit_price,rsi_entry,weekly_rsi,adx,di_plus,di_minus,rvol,gp_zone
AEHR_2005-10-03_short,SID,AEHR,short,2005-10-03,3.49,-0.2865,0,2.871,2.931639908732013,0.224899150754732,0.1246999501800482,2005-11-25,3.5,57.658938496290936,68.89410434014735,24.30399223882338,38.16409725900103,22.669113429211528,4.570178535715785,0.0
IBM_2005-11-30_short,SID,IBM,short,2005-11-30,84.91407,3.3071,1,0.2994,0.9361921961786822,1.7164934279947488,1.462302655877701,2005-12-12,82.105907,74.07477233475356,63.68851756644294,35.08706132897856,33.47447490982475,10.32389009924768,1.0576826971650153,0.0
PSA_2005-11-30_short,SID,PSA,short,2005-11-30,70.60001,1.8556,1,0.1322,1.185517330675611,1.470318272265274,1.376997879666937,2005-12-20,69.28999,63.64035156295635,65.16554996384369,24.699041368982737,25.665838001128,14.300077630347094,0.8966382692919509,0.0
ITW_2005-12-05_short,SID,ITW,short,2005-12-05,44.495005,1.1237,1,0.1129,0.7838405844172655,0.7353271148916392,0.6850806322502538,2005-12-30,43.995005,67.15050708132128,61.44317950210265,44.71197731076864,28.545619516277142,7.526734879170329,0.9273492228264232,0.0
MSFT_2005-12-05_short,SID,MSFT,short,2005-12-05,27.85001,2.585,1,-0.2269,1.0828097004793231,0.4777051716250327,0.5408987874384048,2005-12-13,27.1301,66.2801742306302,63.00434486825077,35.341628770977294,25.64713853508457,15.01231195261288,0.7127987369700959,0.0
PG_2005-12-16_short,SID,PG,short,2005-12-16,58.11,0.3958,1,0.1904,1.6681221256941354,0.5320955479883196,0.4214759511623631,2005-12-30,57.88,55.75711440355184,59.986393826707534,13.992352502466892,23.48861574655805,17.561939862413833,2.4118242134391226,0.0
GIS_2005-12-20_short,SID,GIS,short,2005-12-20,24.665,0.2027,1,0.2341,1.8902354899203668,0.2112164401783154,0.153484612062566,2006-01-20,24.615,58.39283475364057,58.9943034593307,19.038124479998864,24.813362506716285,16.973584590563767,0.6408035947033796,0.0
CLX_2005-12-27_short,SID,CLX,short,2005-12-27,56.62,-7.6475,0,0.3308,1.6888137950451834,0.7228242279232049,0.5354979560279961,2006-03-28,60.95,59.67888806069415,55.68203371617284,23.623396937846923,27.606591975878978,13.866362517156633,0.9581408421015652,0.0
PFE_2005-12-27_short,SID,PFE,short,2005-12-27,22.400011,-10.1143,0,1.0727,2.82759644384143,0.5293465307562215,0.2890717807805578,2006-03-24,24.665607,62.130220998453055,49.75429573352553,33.76942458363601,39.65992217741919,18.63264759539616,0.6191353086885687,0.0
MSFT_2006-01-03_long,SID,MSFT,long,2006-01-03,26.84,0.4844,1,-0.3084,0.0,-0.2095429228147267,-0.1267604067386097,2006-01-04,26.97,48.78425663448033,47.858932734762554,27.456494971786636,24.638796200210336,23.19918191286363,1.2620013140287187,0.0
