time,open,high,low,close,LC Exit Long (guide),LC Exit Short (guide),Active ATR Stop,Lifetime Sortino,Lifetime PF,Rolling Sortino,Rolling PF,Sortino ADX<band,Sortino ADX>=band,Sortino IS,Sortino OOS,Per-Bar Sortino,Fast MA,Slow MA,GP_Flag,GP_Top,GP_Bot,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,Pocket Pivot,WRB Bar,WRB Entry Bar,WRB Prior Bars,True Range,ATR(14),WRB Ratio (TR/ATR),ATR Short Stop Loss,ATR Long Stop Loss,Long Stop Hit,Short Stop Hit,Long Stop Approaching,Short Stop Approaching,ATR% raw (buffer ref),ATR (raw $),Short Stop,Long Stop,MA #1,MA #2,MACD,Signal Line,Cross,Buy,Sell,StopBuy,StopSell,Distance from Kernel,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,DI+,DI-,ADX,Volume,Anomaly Volume (>= Threshold 1σ),HMA(Volume),ALMA(Volume),SMA(Volume),LSMA(Volume),+1σ above Mean (SMA),+2σ above Mean (SMA),RVOL ratio,Z-score,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close),Aroon Oscillator,Zero Line,Signal Line,Long (Chart),Short (Chart),Mean reversion Up,Mean reversion Down,Long,Short
2025-04-23,159.37,160.38,156,157.74,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010202185432633163,,,0,173.64573000000001,173.16525000000001,146.7616705069429,146.7616705069429,146.7616705069429,,,,157.214,174.7513320661947,139.6766679338053,0,0,0,0,8.97999999999999,7.9922196620380745,1.1235927414074633,168.37221966203808,148.00778033796192,0,0,0,0,5.066704489690677,7.9922196620380745,168.37221966203808,148.00778033796192,170.60576349928218,183.5438,-6.280349066916131,-7.261645991381784,,,,,,0.4745099458760215,174.28218623161908,169.82735117180428,165.37251611198948,156.4628459923599,147.5531758727303,143.0983408129155,138.6435057531007,0,0,0,0,,,22.383114521176434,30.65985525143856,33.86270570135834,17667929,,18147771.29904762,17205606.04684537,22331875.19999999,22234657.037647057,32219781.81389329,42755932.34207229,0.9485226184568524,-0.38113562206370016,0,172418,-231530,172418,-49.46682167264255,0,-52.083458027434055,0,0,,,,
2025-04-24,157.78,164.55,157.39,164.18,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010201449105149788,,,0,152.84385,151.28625,152.28083689930412,,,,,,156.748,172.97599014049447,140.5200098595055,0,0,0,0,7.160000000000025,7.932775400463929,0.9025844850695369,172.48277540046394,149.45722459953606,0,0,0,0,4.831755025255164,7.932775400463929,172.48277540046394,149.45722459953606,170.35377277382014,183.43155000000002,-5.065032436805836,-6.822323280466595,,,,,,1.2212215733826508,174.62782167551467,170.1618526591658,165.6958836428169,156.76394561011912,147.83200757742134,143.36603856107246,138.90006954472358,0,0,0,0,,,24.69483382195917,28.6832045611224,31.977650438078975,18761145,,16040090.17186147,16801352.429735154,22537702.399999995,21877680.884705883,32319807.79287088,42477775.157170326,1.0052221586757464,-0.3347810941511093,0,865601,0,841472,-47.798177085121694,0,-51.19973104528429,0,0,,,,
2025-04-25,163.93,165.91,161.16,165.1,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010200712937073407,,,0,152.84385,151.28625,153.5418485493538,,,,,,156.59099999999998,172.4272570072596,140.75474299274035,0,0,0,0,4.75,7.705434300430791,0.6164480566312064,173.6154343004308,153.4545656995692,0,0,0,0,4.667131617462624,7.705434300430791,173.6154343004308,153.4545656995692,170.14774246896445,183.33445000000003,-3.9817498070976853,-6.254208585792813,,,,,,1.2967665387755516,175.09452688900356,170.61998030071982,166.14543371243607,157.1963405358686,148.2472473593011,143.77270077101736,139.2981541827336,0,0,0,0,,,24.86817659924565,27.420225581861025,30.042155199104535,14654790,,14659039.336017316,16588931.138752658,22392488.149999995,21105385.87764706,32319934.15139483,42477542.68374203,0.7796014137428835,-0.7391046421152822,0,282649,-178157,123158,-42.79478376308454,0,-49.81763857057455,0,0,,,,
2025-04-28,165,165.32,160.5,163.4,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010199976928346515,,,0,152.84385,151.28625,153.85100222439996,,,,,,156.49849999999998,172.15192298029376,140.8450770197062,0,0,0,0,4.819999999999993,7.4993318504000195,0.6427239247644296,172.8193318504,153.0006681496,0,0,0,0,4.589554376009803,7.4993318504000195,172.8193318504,153.0006681496,169.88312511724035,183.19620000000003,-3.2232605694961762,-5.648018982533485,,,,,,1.0419946675375993,175.4744827361559,170.9937420771524,166.51300141814892,157.55152010014197,148.59003878213503,144.10929812313154,139.62855746412805,0,0,0,0,,,23.726507165988355,26.790021941014185,28.32945703948069,11415622,,13456206.770822514,15392548.864310397,22146669.349999994,20392737.08705882,32241953.901637584,42614127.56517992,0.606990981064537,-1.0079042809359309,0,0,-354955,-153278,-38.60119353699443,0,-48.01980005599046,0,0,,,,
2025-04-29,164.38,166,163.5,164.48,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010199241078911635,,,0,152.84385,151.28625,154.37593063694283,,,,,,156.42249999999996,171.90448033198618,140.94051966801374,0,0,0,0,2.5999999999999943,7.149379575371446,0.3636679200747166,173.14937957537146,156.35062042462854,0,0,0,0,4.346655870240422,7.149379575371446,173.14937957537146,156.35062042462854,169.67123785774072,183.09610000000004,-2.5061164594722527,-5.019638477921239,,,,,,1.1217913333131913,175.95298214095644,171.470443363565,166.98790458617358,158.02282703139073,149.05774947660788,144.57521069921646,140.09267192182503,0,0,0,0,,,23.789560403204828,26.094116829725284,26.63591444757248,9830097,,12090807.688571429,13362220.469527183,21667760.599999994,19872353.82352941,32186941.555276804,42813717.2057917,0.5227168155533749,-1.1038220143655288,0,127563,-27238,-27238,-35.07138359770053,0,-45.873506835101054,0,0,,,,
2025-04-30,163.54,166.92,161.75,166.69,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010198505388711311,,,0,152.84385,151.28625,156.17800702001836,,,,,,156.325,171.51988532368654,141.13011467631344,0,0,0,0,5.1699999999999875,7.007995319987771,0.737728803164927,173.92799531998776,154.74200468001223,0,0,0,0,4.204208602788272,7.007995319987771,173.92799531998776,154.74200468001223,169.55432656920186,182.99280000000002,-1.7393953879780497,-4.363589859932601,,,,,,1.279993114664452,176.60750343844143,172.12489519752012,167.64228695659884,158.67707047475622,149.7118539929136,145.22924575199232,140.74663751107101,0,0,0,0,,,22.535971551485115,26.502766564366524,25.31114234359402,10073011,,10689232.214025972,11591549.705226721,21712410.699999996,19073050.712941177,32014886.508689407,42914143.35071215,0.535489544542177,-1.0131533577675855,0,281861,-89461,281861,-32.08894726074534,0,-43.43391578946552,0,0,,,,
2025-05-01,172.8,174.78,170.95,172.72,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010197769857688126,,,0,152.84385,151.28625,162.09207794715988,,,,,,156.44149999999996,172.0947619923142,140.78823800768572,0,0,0,0,8.090000000000003,7.085281368560073,1.1418036319486515,181.86528136856006,163.86471863143993,0,0,0,0,4.102177726123248,7.085281368560073,181.86528136856006,163.86471863143993,169.6784706253116,182.93030000000002,-0.6378401850925286,-3.618439924964586,,,,,,1.8747711922816825,177.70214520035645,173.22225084105463,168.7423564817528,159.78256776314916,150.8227790445455,146.3428846852437,141.86299032594187,0,0,0,0,,,28.62186747679675,24.341269770089312,24.080505092072517,22670639,,10717995.467445888,13349381.995878212,22342308.199999996,19190478.76470588,32327453.53858564,42896866.458123654,1.2050040798363981,0.0863433369383648,0,251175,-51223,6560,-15.168905047056104,0,-38.947568749746225,0,0,,,,
2025-05-02,179.795,180.65,177.14,179.28,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.010197034485784686,,,0,152.84385,151.28625,168.5615723795056,,,,,,157.5365,176.09375655909352,138.97924344090646,0,0,0,0,7.930000000000007,7.145618413662925,1.1097709870481314,187.79561841366294,169.99438158633706,0,0,0,0,3.985730931315777,7.145618413662925,187.79561841366294,169.99438158633706,170.05500118902486,182.8965,0.755775317853022,-2.7435968764010648,,,,,,2.4557429670764215,179.25790846484514,174.78358806423077,170.3092676636164,161.36062686238768,152.41198606115896,147.93766566054458,143.4633452599302,1,1,0,0,,,32.22076213270227,22.41175298589239,23.642935158936346,21691162,,11792006.823116884,16534341.81277387,22008342.149999995,19108533.04,32553583.50204352,42795865.76599179,1.1289552139942978,-0.06054697792093325,0,0,-431723,-183554,-0.27805577391024094,0,-32.65853346715693,0,0,,,,
2025-05-05,179,180.08,176.25,176.4,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.01019629927294363,,,0,152.84385,151.28625,168.91681720954094,,,,,,159.01649999999998,178.6053236247102,139.42767637528976,0,0,0,0,3.8300000000000125,6.9087885269727165,0.5543663675689661,186.98878852697274,169.34121147302727,0,0,0,0,3.9165467839981387,6.9087885269727165,186.98878852697274,169.34121147302727,170.3038246718082,182.92250000000004,1.60928290200863,-1.8730209207191257,,,,,,1.8933406936920945,180.5686861845079,176.10226534479008,171.63584450507227,162.70300282563662,153.77016114620096,149.30374030648315,144.83731946676534,0,0,0,0,,,30.944897356715856,22.44445446099474,23.091411734994356,14618920,,12886682.450822512,17902812.211491216,20935030.949999996,18576164.38117647,31929975.196163125,42203485.48756434,0.7485545391122161,-0.68501852873523,0,0,-455780,-440005,12.243411683713878,0,-24.944754297612374,0,0,,,0,
2025-05-06,172.6,174.74,170.5884,172.28,0,0,,0.7100865396751989,2.0506321459689025,0.8287860575031043,2.2192008006215693,0.5468497967561818,1.1829219908666606,0.7100865396751989,,0.01019556421910762,,,0,152.84385,151.28625,169.03437312314514,,,,,,160.32199999999995,179.79203502821807,140.85196497178183,0,0,0,0,5.8115999999999985,6.830417917903236,0.8508410568505904,181.57041791790326,163.75798208209676,0,0,0,0,3.9647190143390034,6.830417917903236,181.57041791790326,163.75798208209676,170.38132174350199,182.92455,1.9309850502557993,-1.1122197265241407,,,,,,1.115526924735948,181.5316550909234,177.0749433473385,172.6182316037536,163.7048081165838,154.79138462941398,150.3346728858291,145.87796114224417,0,0,0,0,,,29.06424098735006,27.000981849545997,21.704889834132786,14565567,,13778168.294805195,17353483.426884044,19343892.899999995,18091903.364705887,30479341.494688958,40326959.846520774,0.7399803236061754,-0.6160023597714612,0,0,-254009,-254009,22.81379763342421,0,-16.118257457794137,0,0,,,,
