tk,date,dir,sep,punch,approach,whip,wt_aligned,wt_recent,depth,fail3,fwd10
AAPL,2018-07-09,long,0.16162771909730292,0.40199451474953696,0.14320606238341088,,True,True,0.05891289736827209,False,0.5404351080372738
AAPL,2018-07-30,short,0.08928225651492185,0.4921967080632234,0.0967685464194107,,True,True,-0.6578375845322593,True,-10.369411240702654
AAPL,2018-08-01,long,0.911371579690274,1.2911465361841905,0.18046594819447329,,True,True,0.9353678907010721,False,4.70335636488417
AAPL,2018-09-07,short,0.4417502209523551,0.724523109581919,0.2700458137041349,,True,True,-2.4937849291308685,False,1.64482207465797
AAPL,2018-10-02,long,0.2642380505348146,0.3515484423475884,0.3866447983353183,,True,True,1.3808069428076626,False,-3.1097295067973985
AAPL,2018-10-08,short,0.31103870225334596,0.3698609381358616,0.06899032802559071,0.2,True,True,-1.2683447020118161,False,1.394297824289814
AAPL,2018-12-03,long,0.4413103153991928,0.6914626720532462,0.5548108528931558,0.16666666666666666,True,True,-1.806767257244911,False,-10.144998703153174
AAPL,2018-12-10,short,0.015837285862748164,0.0832574193686334,0.13274601228991603,0.14285714285714285,True,True,1.7299637725559325,True,13.42567555002473
AAPL,2018-12-12,long,0.04050449537518119,0.08927347226539978,0.12686734870161978,0.14285714285714285,True,True,-1.6652585724318103,False,-7.658202425984484
AAPL,2018-12-20,short,0.23535118843748076,0.2805943034323411,0.04133092034658056,0.2222222222222222,True,True,1.5735085706919933,False,5.674931762630608
AAPL,2018-12-28,long,0.12861996608143833,0.3596135891283077,0.17154061812003568,0.2,True,True,-1.5390871084840065,False,-3.9876759711100385
AAPL,2019-03-06,short,0.1099930695625131,0.11386106191553459,0.015104385002966618,0.2,True,True,-0.632121859107123,False,-7.815735179732308
AAPL,2019-03-12,long,0.11944857213002749,0.28689137294789074,-0.01804135242415433,0.1,True,True,0.6264847776978475,False,3.250244602211305
AAPL,2019-03-28,short,0.05465593438513736,0.16536536699214938,0.31181610274246746,0.1,True,True,-0.8699520915194088,True,-5.420737424259525
AAPL,2019-04-02,long,0.009453235570599697,0.14706101535749316,-0.005101048600449178,0.1,True,True,0.848318019242534,False,2.6955916152565207
AAPL,2019-04-15,short,0.1030778413735354,0.2121658379178316,0.17449095596462533,0.2,True,True,-0.8699719547928227,True,-0.722775291123523
AAPL,2019-04-18,long,0.006822365733242984,0.15939978440155916,-0.0026579594073370856,0.2,True,True,0.8722170911079433,False,3.8703015935481755
AAPL,2019-04-26,short,0.46660614736196404,0.6639955299492951,-0.018253505490187304,0.3,True,True,-0.8924879604079482,False,3.113381161241735
AAPL,2019-06-06,long,0.36508017270896936,0.6984547451217824,0.4727228042510839,0.2,True,True,-1.126366211042276,False,7.688182560070467
AAPL,2019-07-17,short,0.049024930294060236,0.08610370953648218,-0.005435769181169697,0.2,False,False,-0.8900748347371579,False,-4.765183482782009
AAPL,2019-07-23,long,0.09084166379868035,0.1335155484072453,0.003074939146427768,0.2,True,True,0.9353162184354334,False,-5.669393764882069
AAPL,2019-08-02,short,0.40855680397197364,0.4622214144143914,0.01726867019633292,0.2,True,True,-0.8098918631411783,False,-1.6001629148680863
AAPL,2019-08-19,long,0.40436258446514783,0.5186775932836313,0.11808954110244008,0.2,True,True,0.3474517620196108,False,-2.2105948902968575
AAPL,2019-08-27,short,0.2303805018077109,0.43938912169783945,0.36966842291333113,0.2,True,True,-0.4154940779111193,False,-9.517039126421345
AAPL,2019-09-05,long,0.6490845515769152,0.7398478925890681,0.02850719146299171,0.1,True,True,0.5627496468114914,False,3.6009089053368637
AAPL,2019-09-24,short,0.4884921563239995,0.5027996230123889,0.5759846346104666,0.1,True,True,-1.25691591495543,False,-3.087100580426072
AAPL,2019-10-07,long,0.2745878290333735,0.35553923690195655,-0.01558240993259239,0.0,True,True,1.258169493692428,False,5.923508919458831
AAPL,2019-11-20,short,0.4296090294494926,0.653341400264601,0.15915689735957142,0.0,True,False,-3.3979053684799685,False,-0.9080710708942785
AAPL,2019-12-16,long,0.5538516485936875,0.6248446639646299,0.31467164049782437,0.0,True,False,2.2041226134003837,False,4.92744608872786
AAPL,2020-01-24,short,0.12766117135077534,0.33746781532753883,0.28557718961888173,0.0,True,False,-4.08350282991221,False,-0.7789850543125088
AAPL,2020-03-27,long,0.2525350739035935,0.28069776341706243,0.7228239786967687,0.0,True,True,-1.7509948187547746,False,10.297078145726136
AAPL,2020-05-27,short,0.038566748465715554,0.0905621343018098,0.09551519021205583,0.0,True,True,-1.115618314453432,False,-10.917642938120252
AAPL,2020-06-08,long,0.06092566790493042,0.1434802901259248,0.04659394402139191,0.0,True,True,1.0656293844559774,False,7.62009824859351
AAPL,2020-06-29,short,0.11007998500482227,0.12412772098575693,0.31222647381202573,0.0,True,True,-1.3153973084028656,False,-7.311043595340072
AAPL,2020-07-08,long,0.4540007343276101,0.48652164961302524,0.09573556262813641,0.0,True,True,1.324980346141515,False,2.024267821190051
AAPL,2020-07-17,short,0.13888852235883348,0.5511550336281714,0.09102003553722737,0.0,True,True,-1.3086967384716544,True,-10.311211126241115
AAPL,2020-07-20,long,0.007587456150290052,0.15473483505665034,0.2400594188541496,0.0,False,True,1.3154196435797771,True,10.75666185972799
AAPL,2020-07-21,short,0.5347612633131167,0.5428225242969359,0.34282405102672936,0.0,True,True,-1.2653606726369502,False,-13.056699805072203
AAPL,2020-07-31,long,0.6912840129700641,3.6342198841886777,0.23108601802151324,0.2,True,True,0.9796881646939983,False,8.33302717859894
AAPL,2020-09-03,short,0.4417664808759308,1.659930792360649,-0.1405403868223151,0.2,True,True,-3.8119915046042023,False,11.614807239047753
AAPL,2020-10-01,long,0.2358923032701443,0.2565530425406071,0.35914795903402397,0.2,True,True,-0.15091589767882296,False,3.3564300141586623
AAPL,2020-10-21,short,0.020016580104844108,0.16934448350642933,0.26656129875622353,0.2,True,True,-0.46112501536681105,False,1.642834389637926
AAPL,2020-11-06,long,0.29015303903851036,0.3655886375793591,0.35594636981808386,0.2,True,True,-0.06061130296515439,False,-1.1374228149471644
AAPL,2020-11-23,short,0.21700647925692673,0.4692415446492442,0.19333211565870612,0.2,True,True,-0.210902538168247,False,-9.24901057537626
AAPL,2020-12-01,long,0.5127027251903015,0.6599208520355129,0.13032862058990585,0.2,True,True,0.31219228221830403,False,4.204704953871197
AAPL,2021-01-05,short,0.3122679313075536,0.3971243072983685,0.5709494454359845,0.2,True,True,-1.3043820996728717,False,-0.7785792537749137
AAPL,2021-01-22,long,0.7720916779752802,0.9066677058339921,0.5265930856011369,0.1,True,True,1.1574669691075092,False,-1.5140738935781162
AAPL,2021-02-01,short,0.38026788798790495,0.5781173394142735,0.674520845674366,0.0,True,True,-1.7717983881739048,False,0.5598409634059331
AAPL,2021-03-15,long,0.1891090562386791,0.4770360097056544,0.2974002687728485,0.0,True,True,-1.4390800898209903,False,-2.0969437949522107
AAPL,2021-04-29,short,0.07183521950983265,0.15269613084652756,0.12079944162005156,0.0,True,True,-1.0385465106255445,False,6.216467131204295
